"feed temperature (C)","feed flow (t/HR)","steam flow (kg/hr)",top pressure  (mm-water-G),bottom pressure (mm-water-G),top temperature (C),bottom temperature (C),"bottom EDC (ppm)",Status
50,10,3000,500,900,102.0071,102.376952,0.131180996,OK
50,10,3000,500,1000,102.186486,102.629321,0.133047071,OK
50,10,3000,500,1100,102.364944,102.879855,0.134949467,OK
50,10,3000,600,700,101.724432,101.866591,0.130083809,OK
50,10,3000,600,800,101.905512,102.122718,0.131914561,OK
50,10,3000,600,900,102.085636,102.376952,0.133780834,OK
50,10,3000,600,1000,102.264819,102.62932,0.135683404,OK
50,10,3000,600,1100,102.443074,102.879855,0.137623047,OK
50,10,3000,600,1200,102.620418,103.128585,0.139600558,OK
50,10,3000,700,800,101.983793,102.122719,0.134508008,OK
50,10,3000,700,900,102.163714,102.376951,0.136410567,OK
50,10,3000,700,1000,102.342695,102.62932,0.138350152,OK
50,10,3000,700,1100,102.52075,102.879855,0.140327573,OK
50,10,3000,700,1200,102.697894,103.128585,0.142343641,OK
50,10,3000,700,1300,102.874142,103.375538,0.144399186,OK
50,10,3000,800,900,102.24134,102.376952,0.139070493,OK
50,10,3000,800,1000,102.420121,102.62932,0.141047636,OK
50,10,3000,800,1100,102.597978,102.879855,0.143063373,OK
50,10,3000,800,1200,102.774925,103.128584,0.145118548,OK
50,10,3000,800,1300,102.950976,103.375538,0.147214007,OK
50,10,3000,800,1400,103.126146,103.620744,0.149350619,OK
50,10,3000,900,1000,102.497105,102.629321,0.143776172,OK
50,10,3000,900,1100,102.674764,102.879854,0.145830785,OK
50,10,3000,900,1200,102.851516,103.128584,0.147925622,OK
50,10,3000,900,1300,103.027373,103.375538,0.150061564,OK
50,10,3000,900,1400,103.20235,103.620744,0.152239495,OK
50,10,3000,900,1500,103.376459,103.86423,0.154460323,OK
50,10,3000,1000,1100,102.751118,102.879855,0.148630134,OK
50,10,3000,1000,1200,102.927675,103.128584,0.150765214,OK
50,10,3000,1000,1300,103.10334,103.375538,0.152942212,OK
50,10,3000,1000,1400,103.278125,103.620744,0.155162049,OK
50,10,3000,1000,1500,103.452043,103.864229,0.15742565,OK
50,10,3000,1000,1600,103.625109,104.106021,0.159733961,OK
50,10,3000,1100,1200,103.003409,103.128585,0.153637658,OK
50,10,3000,1100,1300,103.178882,103.375538,0.155856311,OK
50,10,3000,1100,1400,103.353477,103.620744,0.158118647,OK
50,10,3000,1100,1500,103.527208,103.864229,0.160425627,OK
50,10,3000,1100,1600,103.700086,104.106021,0.162778215,OK
50,10,3000,1100,1700,103.872125,104.346145,0.165177401,OK
50,10,3000,1200,1300,103.254007,103.375539,0.15880421,OK
50,10,3000,1200,1400,103.428414,103.620744,0.161109662,OK
50,10,3000,1200,1500,103.601958,103.864229,0.163460633,OK
50,10,3000,1200,1600,103.77465,104.106021,0.165858123,OK
50,10,3000,1200,1700,103.946505,104.346145,0.168303142,OK
50,10,3000,1200,1800,104.117534,104.584626,0.170796722,OK
50,10,3000,1300,1400,103.502941,103.620744,0.164135453,OK
50,10,3000,1300,1500,103.676299,103.864229,0.166531049,OK
50,10,3000,1300,1600,103.848808,104.10602,0.168974074,OK
50,10,3000,1300,1700,104.02048,104.346144,0.171465571,OK
50,10,3000,1300,1800,104.191327,104.584626,0.174006592,OK
50,10,3000,1300,1900,104.361362,104.821491,0.176598216,OK
50,10,3000,1400,1500,103.75024,103.86423,0.169637249,OK
50,10,3000,1400,1600,103.922565,104.10602,0.172126461,OK
50,10,3000,1400,1700,104.094056,104.346144,0.174665087,OK
50,10,3000,1400,1800,104.264723,104.584626,0.177254214,OK
50,10,3000,1400,1900,104.434579,104.82149,0.179894943,OK
50,10,3000,1400,2000,104.603635,105.056762,0.182588398,OK
50,10,3200,400,500,101.191905,101.348522,0.095202669,OK
50,10,3200,400,600,101.37446,101.608535,0.096445202,OK
50,10,3200,400,700,101.556007,101.866592,0.097710265,OK
50,10,3200,400,800,101.73656,102.122721,0.098998049,OK
50,10,3200,400,900,101.916133,102.376954,0.100309001,OK
50,10,3200,400,1000,102.094744,102.629323,0.101643579,OK
50,10,3200,500,600,101.454238,101.608536,0.098439176,OK
50,10,3200,500,700,101.635579,101.866591,0.099728763,OK
50,10,3200,500,800,101.815927,102.12272,0.101041522,OK
50,10,3200,500,900,101.995298,102.376954,0.102377922,OK
50,10,3200,500,1000,102.173706,102.629323,0.103738429,OK
50,10,3200,500,1100,102.351167,102.879857,0.105123518,OK
50,10,3200,600,700,101.71468,101.866593,0.10176967,OK
50,10,3200,600,800,101.894825,102.12272,0.103107741,OK
50,10,3200,600,900,102.073994,102.376954,0.10446992,OK
50,10,3200,600,1000,102.252203,102.629323,0.105856695,OK
50,10,3200,600,1100,102.429465,102.879857,0.107268553,OK
50,10,3200,600,1200,102.605796,103.128587,0.10870599,OK
50,10,3200,700,800,101.973261,102.122721,0.105196862,OK
50,10,3200,700,900,102.15223,102.376954,0.10658517,OK
50,10,3200,700,1000,102.330241,102.629322,0.107998559,OK
50,10,3200,700,1100,102.507306,102.879857,0.109437538,OK
50,10,3200,700,1200,102.683442,103.128587,0.110902613,OK
50,10,3200,700,1300,102.858661,103.375541,0.112394304,OK
50,10,3200,800,900,102.230014,102.376955,0.108723846,OK
50,10,3200,800,1000,102.407827,102.629322,0.110164213,OK
50,10,3200,800,1100,102.584698,102.879857,0.111630671,OK
50,10,3200,800,1200,102.760639,103.128587,0.113123751,OK
50,10,3200,800,1300,102.935666,103.375541,0.114643983,OK
50,10,3200,800,1400,103.109792,103.620747,0.116191905,OK
50,10,3200,900,1000,102.48497,102.629323,0.112353842,OK
50,10,3200,900,1100,102.661646,102.879857,0.113848158,OK
